Agent,Time,Method,Resource,Version,Status

Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.79 Safari/537.36,2017-09-21T03:12:40.149Z,GET,/logs,HTTP/1.1,200
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.79 Safari/537.36,2017-09-21T03:12:44.143Z,GET,/logs,HTTP/1.1,200
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.79 Safari/537.36,2017-09-21T03:12:46.549Z,GET,/log,HTTP/1.1,200
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.79 Safari/537.36,2017-09-21T03:12:52.038Z,GET,/logs,HTTP/1.1,200
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.79 Safari/537.36,2017-09-21T03:14:52.071Z,GET,/logs,HTTP/1.1,200
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.79 Safari/537.36,2017-09-21T03:16:00.693Z,GET,/logs,HTTP/1.1,200
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.79 Safari/537.36,2017-09-21T03:18:00.724Z,GET,/logs,HTTP/1.1,200
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.79 Safari/537.36,2017-09-21T03:26:15.608Z,GET,/logs,HTTP/1.1,200
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.79 Safari/537.36,2017-09-21T03:26:17.196Z,GET,/logs,HTTP/1.1,200
PostmanRuntime/6.3.2,2017-09-21T03:28:06.486Z,GET,/,HTTP/1.1,200
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.79 Safari/537.36,2017-09-21T03:28:13.097Z,GET,/logs,HTTP/1.1,200
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.79 Safari/537.36,2017-09-21T03:29:05.901Z,GET,/logs,HTTP/1.1,200
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.79 Safari/537.36,2017-09-21T03:29:28.262Z,GET,/logs,HTTP/1.1,200
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.79 Safari/537.36,2017-09-21T03:29:47.560Z,GET,/logs,HTTP/1.1,200
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.79 Safari/537.36,2017-09-21T03:29:58.982Z,GET,/logs,HTTP/1.1,200
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.79 Safari/537.36,2017-09-21T03:30:34.382Z,GET,/logs,HTTP/1.1,200
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.79 Safari/537.36,2017-09-21T03:31:43.477Z,GET,/logs,HTTP/1.1,200
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.79 Safari/537.36,2017-09-21T03:32:31.345Z,GET,/logs,HTTP/1.1,200
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.79 Safari/537.36,2017-09-21T03:33:01.242Z,GET,/logs,HTTP/1.1,200
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.79 Safari/537.36,2017-09-21T03:38:18.083Z,GET,/logs,HTTP/1.1,200
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.79 Safari/537.36,2017-09-21T03:39:46.947Z,GET,/logs,HTTP/1.1,200
